block,amount
5274893,7922.6808
5274893,499.8731
5274895,25672.6063
5274897,20346.8388
5274902,33601.0147
5274902,4048.9723
5274903,4993.7325
5274904,1549.6067
5274905,20276.8637
5274906,25707.6134
5274909,20278.8450
5274914,24993.6561
5274925,14154.0141
5274927,31181.5499
5276837,153.4545
5276892,33245.1552
5276894,41488.5308
5276896,41736.7794
5276899,33331.9621
5276900,42654.5514
5276903,42926.8742
5276907,43200.9357
5276909,43476.7468
5276909,43.9931
5276912,43754.3189
5276917,44033.6630
5276919,996.0532
5276919,479.0363
5276919,5591.0374
5276925,9776.2500
5276927,488.8125
5276928,800.0038
5276934,5.8658
5276940,749.8873
5276942,4888.1250
5276945,9957.2668
5276950,4867.1877
5276954,4867.1877
5276960,1.9469
5276961,4867.1877
5276976,14403.2739
5276976,1411.4844
5276979,24.3359
5276985,14601.5632
5276995,14703.2387
5276998,968.0082
5277008,3421.6875
5277014,15188.3820
5277014,5750.8791
5277021,886.7059
5277024,34.2169
5277027,15045.8443
5277028,684.3375
5277035,5923.9187
5277044,3910.5000
5277045,16081.7357
5277051,488.8125
5277055,6091.6791
5277056,15082.0164
5277060,2932.8750
5277060,999.7193
5277060,14664.3750
5277064,97.7625
5277064,48.8813
5277069,19552.5000
5277070,2053.0125
5277070,4154.9063
5277071,733.2188
5277072,6264.1322
5277075,16081.7944
5277092,2719.9088
5277093,19781.1546
5277100,24726.4433
5277102,506.9910
5277102,989.0577
5277104,4401.3069
5277104,16999.4297
5277104,494.5289
5277104,6512.5990
5277110,2967.1732
5277110,1541.8485
5277110,832.2921
5277118,64.4464
5277118,818.4689
5277120,2176.3042
5277128,12343.9579
5277128,1658.7503
5277133,29744.4768
5277133,17762.3258
5277140,3470.1890
5277145,19829.6512
5277145,4511.2456
5277146,2991.8305
5277151,16002.3040
5277152,29918.3049
5277152,6716.1608
5277154,520.0799
5277154,1583.5260
5277154,25.4306
5277154,124.6596
5277164,1717.8093
5277165,4687.2011
5277168,2991.8305
5277171,4879.1769
5277173,869.1268
5277174,19983.9054
5277179,29975.8581
5277179,13159.9013
5277181,4861.2581
5277185,225522.2825
5277185,5011.6063
5277187,3508.1244
5277188,6982.6710
5277197,3006.9638
5277197,17000.3558
5277197,4961.4902
5277197,901.3554
5277198,20046.4251
5277201,5262.1866
5277206,30069.6377
5277206,1786.1365
5277212,16999.9699
5277218,7204.6852
5277219,1642.0678
5277219,531.2303
5277225,14416.8878
5277233,5061.7223
5277236,50116.0628
5277238,2255.2228
5277241,5377.4535
5277245,50116.0628
5277250,7834.6441
5277252,7349.5206
5277252,914.2752
5277257,17004.4302
5277265,501.1606
5277266,5412.5348
5277271,17000.0200
5277273,543.7317
5277276,45104.4565
5277276,5161.9545
5277276,250.5803
5277283,17000.0200
5277284,4510.4457
5277284,7404.1471
5277284,501.1606
5277284,921.0264
5277288,50116.0628
5277288,30069.6377
5277291,8030.1469
5277302,486.1258
5277304,16999.9699
5277304,76.4270
5277307,1661.2924
5277310,5312.3027
5277317,22166.7155
5277320,937.4600
5277321,50116.0628
5277323,5472.6741
5277325,29067.3164
5277330,17000.0165
5277345,50116.0628
5277350,5362.4187
5277355,8151.3776
5277355,4009.2850
5277356,7485.8363
5277356,25000.0000
5277358,60139.2753
5277371,5450.6102
5277377,49860.4332
5277380,6008.1822
5277382,5484.6476
5277389,1506.0003
5277390,1687.3897
5277405,46730.5822
5277419,16999.9861
5277428,16.6080
5277428,2442.3583
5277430,48847.1661
5277431,7327.0749
5277432,16999.9861
5277436,488.4717
5277438,82.9740
5277444,16981.6822
5277446,1680.3827
5277452,8044.6783
5277458,20418.3088
5277463,178.6383
5277464,9735.0571
5277467,423.4750
5277471,17000.0285
5277472,48675.2856
5277474,972.3469
5277482,6511.5921
5277493,33043.9003
5277496,21896.4385
5277496,906.0884
5277515,475066.9313
5277522,34204.8191
5277522,95013.3863
5277526,17003.5671
5277528,47506.6931
5277534,4038.0689
5277539,106687.3818
5277540,18966.6457
5277542,16119.3775
5277544,13276.6520
5277559,541.7064
5277559,237.0831
5277563,17030.6248
5277564,18492.4795
5277574,3895.1263
5277575,12425.7043
5277576,123308.5162
5277579,16999.9997
5277580,35569.7643
5277580,104.3380
5277581,47426.3524
5277584,2371.3176
5277587,17767.0053
5277597,24476.4573
5277611,554.7744
5277634,47354.7761
5277649,1894.1910
5277659,2366.9597
5277667,17031.9258
5277669,29101.2445
5277670,148.6980
5277674,46937.4912
5277674,18774.9965
5277693,15999.9581
5277695,469.3749
5277702,936.1205
5277704,1263.7627
5277730,45467.0123
5277734,977.5408
5277737,454.6701
5277738,5818.8427
5277743,454.5971
5277754,49551.0824
5277756,24237.6074
5277775,4.5296
5277789,7346.5889
5277789,901.4717
5277793,17072.0611
5277793,31551.5103
5277794,45073.5862
5277794,31551.5103
5277794,175786.9861
5277795,450735.8618
5277803,69413.3227
5277807,1336.2857
5277819,72738.1288
5277825,17852.7910
5277827,134149.2486
5277831,24780.1553
5277855,16736.3806
5277857,3377.0544
5277865,1375.8271
5277867,11465.2257
5277868,68.7914
5277872,261.4071
5277873,4586.0903
5277873,229.3045
5277880,2791.1278
5277887,1903.3614
5277896,248.3052
5277903,468.5004
5277908,119.3984
5277971,2.1922
5278091,16.0757
5278187,3775.9159
5278189,10084.1200
5278204,6795.8200
5278207,4223.1082
5282376,0.0005
5304929,38.3635
5324395,55.3278
5324967,99.9578
5324981,250.6204
5328823,2.4076
5329276,43.8440
5329286,109.6100
5329372,3.3431
5333923,1830.4866
5334120,14767.1005
5334122,9887.1390
5334128,882.5635
5334129,4361.2170
5334152,1200.0000
5334154,1034.0689
5334157,750.9283
5334242,4344.5330
5334251,879.2397
5334254,87.1319
5334258,25672.4685
5334266,3316.2586
5340975,153.4544
5341248,10.9610
5341324,33796.4534
5341326,20236.9153
5341332,333.1423
5341337,24021.0801
5341887,24126.2571
5342272,212.8018
5342281,85.4958
5343391,22171.2900
5343393,33704.6953
5343396,20242.3163
5343399,2435.5883
5343401,3190.9158
5343403,25873.8074
5343406,295.2729
5343412,19654.7236
